"","contrast","estimate","SE","df","z.ratio","p.value","t.ratio","comparison"
"1","clipped once - control",-0.321308468441013,0.284036910536517,Inf,-1.13122082561063,0.697331372577318,NA,"emergence"
"2","clipped twice - control",-0.487114323898841,0.286063096996275,Inf,-1.7028212622098,0.339584499906084,NA,"emergence"
"3","partial shade - control",-1.26225054911964,0.319812813787559,Inf,-3.9468416983383,0.000462320561910423,NA,"emergence"
"4","low water - control",-0.280922897178607,0.283752819940933,Inf,-0.990026803036125,0.77978421692287,NA,"emergence"
"5","high water - control",0.292486013464612,0.288650943686484,Inf,1.01328618479174,0.766871955466959,NA,"emergence"
"6","full shade - control",-0.690567784609213,0.28794266635014,Inf,-2.39828224612423,0.0802911560566102,NA,"emergence"
"7","clipped once - control",-0.153682322775026,0.311788677402546,Inf,-0.492905400078427,0.966762713765665,NA,"survival"
"8","clipped twice - control",-0.100998960501062,0.31534845213196,Inf,-0.320277330737614,0.990494277823326,NA,"survival"
"9","partial shade - control",-1.46240892631981,0.416216951331823,Inf,-3.51357368228361,0.00252056659915323,NA,"survival"
"10","low water - control",-0.217333112766942,0.315674533290516,Inf,-0.688472112404867,0.915060030616551,NA,"survival"
"11","high water - control",-0.221236186601863,0.316281187447677,Inf,-0.699492082937948,0.911285998735336,NA,"survival"
"12","full shade - control",-1.40368151890812,0.399070650372965,Inf,-3.51737597740214,0.0024853981989208,NA,"survival"
"13","clipped once - control",-0.0386053205563102,0.01249676879945,195,NA,0.0124720682621158,-3.0892241967387,"ABG"
"14","clipped twice - control",-0.0613166160645426,0.0118896681991569,195,NA,3.65584130335161e-06,-5.15713433188074,"ABG"
"15","partial shade - control",-0.00761022817852636,0.0163850180175811,195,NA,0.971901677784019,-0.464462606654481,"ABG"
"16","low water - control",0.00658147516484896,0.012372865799624,195,NA,0.95861225882482,0.531928113618509,"ABG"
"17","high water - control",-0.00455137261304436,0.0119576432209257,195,NA,0.98420313493162,-0.380624553597614,"ABG"
"18","full shade - control",-0.0315173204584617,0.014751525722035,195,NA,0.152182992974115,-2.13654648694291,"ABG"
"19","clipped once - control",-0.0134080919083069,0.00582388724493401,188,NA,0.105494250313427,-2.30225815583399,"BWG"
"20","clipped twice - control",-0.0209919706538875,0.00560804423194607,188,NA,0.00138208681320862,-3.74318920922686,"BWG"
"21","partial shade - control",-0.0106699329722181,0.00763889368139372,188,NA,0.528926035971421,-1.39679034913225,"BWG"
"22","low water - control",-0.00205471091031158,0.00585103606523935,188,NA,0.987509617245852,-0.351170440141105,"BWG"
"23","high water - control",-0.00111433177010003,0.0056420359754436,188,NA,0.997716471975578,-0.197505257844873,"BWG"
"24","full shade - control",-0.0287522558740546,0.00686947459429282,188,NA,0.000255013298601559,-4.18551018413287,"BWG"
"25","clipped once - control",-0.0554414796470555,0.0405972995331857,530,NA,0.547820535495671,-1.36564452031435,"bromeBio"
"26","clipped twice - control",-0.114523209229391,0.0400562063146542,530,NA,0.0234013774414621,-2.85906279615636,"bromeBio"
"27","partial shade - control",0.00930461074760068,0.0403205403276586,530,NA,0.996383498300583,0.230766023272213,"bromeBio"
"28","low water - control",0.293060965987501,0.0399284349960938,530,NA,2.55867993459447e-10,7.33965571192989,"bromeBio"
"29","high water - control",0.491910222201896,0.0404573114834672,530,NA,2.5098412237412e-10,12.1587471872152,"bromeBio"
"30","full shade - control",-0.145727899382821,0.0403205403276586,530,NA,0.0018870706703441,-3.61423478451891,"bromeBio"
