Shrub.ID,D1,D2,H,Area,Log.area,Volume,Canopy,RDM.2013,Shrub.density,x,y
122,1.78,1.67,0.95,2.33,0.845868268,0.74,4,3.65478301,0.003781761,697157.8407,4063185.177
123,4.45,3.2,1.73,11.18,2.414126468,6.45,7,12.34423256,0.004440892,697144.2846,4063207.067
124,2.65,2.48,1.74,5.16,1.640936579,2.99,3,3.395221472,0.003313209,697131.4946,4063211.213
125,3.76,2.97,1.02,8.77,2.171336806,2.98,6,3.146802664,0.003282528,697129.654,4063213.502
126,2.53,2.53,0.91,5.03,1.615419984,1.52,4,2.52179575,0.003250698,697131.5584,4063216.21
127,4.14,2.88,1,9.36,2.23644529,3.12,3,6.244924068,0.003489272,697136.6307,4063228.871
128,3.42,2.56,1.16,6.88,1.928618652,2.66,5,2.003823042,0.003321786,697126.1002,4063224.188
129,5.1,3.63,1.49,14.54,2.676903472,7.22,7,0.596529424,0.003795987,697115.659,4063223.392
130,5.53,4.34,0.97,18.85,2.936512914,6.09,5,1.766556144,0.003173152,697113.4762,4063236.663
131,2.46,1.02,0.89,1.97,0.678033543,0.58,5,2.964588165,0.003880251,697105.6286,4063239.702
132,3.4,2.3,0.97,6.14,1.814824742,1.99,5,2.647430658,0.002794793,697113.716,4063245.661
133,2.8,3.3,0.89,7.26,1.982379829,2.15,6,1.348756433,0.003279851,697104.0406,4063254.319
134,3,2.9,1.45,6.83,1.921324674,3.3,5,0.459372491,0.003992372,697090.7452,4063264.891
135,3.4,3.7,0.82,9.88,2.290512512,2.7,6,0.212037951,0.004088613,697087.5312,4063256.936
136,1.9,2,0.64,2.98,1.091923301,0.64,4,0.137882471,0.004137717,697081.7439,4063255.914
137,2.5,3,1.4,5.89,1.773255998,2.75,4,0.270474195,0.004295069,697081.2665,4063261.121
138,0.65,0.7,0.93,0.36,1.1,0.11,2,0.560421169,0.004707104,697077.7384,4063266.812
139,2.8,3.45,0.97,7.59,2.026831591,2.45,7,0.891864777,0.005364235,697073.5415,4063270.49
140,3.8,4.8,1.12,14.33,2.662355242,5.35,6,0,0.00498257,697066.6209,4063252.68
141,2.25,1,0.77,1.77,0.570979547,0.45,5,0.031190122,0.004980423,697077.6033,4063241.61
142,4.3,4.05,1.4,13.68,2.615934912,6.38,5,0,0.005648811,697056.0267,4063227.459
143,2.15,2.1,1.07,3.55,1.266947603,1.26,3,0,0.005126265,697061.2014,4063224.026
144,1.67,1.55,2.53,2.03,0.708035793,1.71,4,0,0.005667009,697062.3323,4063221.498
145,2.88,4.9,1.24,11.08,2.405141681,4.58,4,1.078570843,0.004983255,697061.0891,4063209.481
146,4.4,3.8,1.5,13.13,2.574899688,6.57,3,0.675124645,0.004200798,697055.0516,4063203.791
147,5.5,3.8,1.6,16.41,2.797890905,8.75,4,1.665714383,0.004846314,697064.9364,4063201.576
148,3.4,3.8,1.1,10.15,2.317473705,3.72,5,0.020625416,0.004555604,697074.5555,4063210.901
149,4,3.9,1.6,12.25,2.505525937,6.53,6,0.033863541,0.004129209,697079.9471,4063217.464
150,2.53,2.72,1.46,5.4,1.686398954,2.63,4,0.063749246,0.004587358,697082.237,4063222.845
151,2.3,1.75,1.27,3.16,1.150572028,1.34,3,0.05617962,0.003389124,697086.5872,4063208.625
152,4.22,3.73,1.82,12.36,2.514465452,7.5,5,0.233696416,0.003031092,697090.6054,4063208.828
153,3.75,2.65,1.55,7.8,2.054123734,4.03,1,0.242893651,0.002655776,697098.6138,4063206.57
154,3.3,4.37,1.53,11.33,2.427454075,5.78,4,2.26227808,0.001345626,697124.0994,4063179.072
155,5.5,5.2,1.9,22.46,3.111735949,14.23,7,3.773242474,0.003443649,697133.2589,4063192.826
156,4.26,3.95,1.43,13.22,2.581730834,6.3,5,2.524341345,0.002200743,697130.52,4063172.004
157,5.42,5.09,1.59,21.67,3.075928816,11.48,5,4.557208538,0.002115085,697133.1548,4063158.521
158,3.82,2.49,1.33,7.47,2.010894999,3.31,0,5.079460621,0.002220446,697149.4015,4063151.791
159,2.5,2.2,1.3,4.32,1.463255402,1.87,8,5.875579834,0.002854859,697159.6102,4063166.569
160,3.8,4,1.12,11.94,2.479894108,4.46,5,1.478896976,0.005459402,697070.9656,4063277.535
161,3.4,3.5,1.72,9.35,2.235376343,5.36,5,2.508885622,0.003263702,697083.4438,4063286.925
162,2.8,2.8,0.97,6.16,1.818076778,1.99,5,3.666121006,0.001783083,697082.5298,4063299.448
163,4.3,4.1,1.63,13.85,2.628285233,7.52,4,4.350525379,0.003151313,697068.844,4063295.914
164,5,4.75,1.17,18.65,2.925846146,7.27,6,3.387563467,0.003948579,697051.6022,4063291.521
165,4.6,3.9,2.15,14.09,2.645465326,10.1,5,4.364216328,0.004146194,697049.7335,4063283.374
166,3.3,2.3,0.97,5.96,1.785070481,1.93,5,3.403878212,0.004938121,697053.0651,4063270.684
167,3.8,2.7,0.97,8.06,2.086913557,2.61,4,2.730338097,0.004771771,697049.2256,4063270.485
168,5.4,3.5,0.94,14.84,2.697326238,4.65,7,1.064097762,0.004684798,697051.1199,4063261.981
169,4.9,3.7,1.45,14.24,2.656054906,6.88,7,1.801912665,0.005205011,697042.1313,4063264.105
170,4,2.7,0.89,8.48,2.13771045,2.52,4,1.473559976,0.004805035,697037.4442,4063269.659
171,2.9,2.3,0.97,5.24,1.656321498,1.69,4,3.081497192,0.00459487,697038.6108,4063281.12
172,4.5,3.3,1.37,11.66,2.456164181,5.33,5,2.735991478,0.003742403,697042.0877,4063297.074
173,4,2.6,1.19,8.17,2.100468909,3.24,4,2.330767155,0.002424484,697028.458,4063310.526
174,1.7,1.5,0.94,2,0.693147181,0.63,3,0.864347756,0.004263199,697018.7701,4063288.656
